                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9598,                 4.8744,                 4.2035,                0.00013,                0.05765,                0.00011,                  3e-05,                 2.7637,                 4.2934,                 4.1686,             0.00025245,             0.00025245,             0.00025245
                      2,                 2.6472,                 3.9503,                 3.4914,                 0.6532,                0.16952,                0.23255,                0.10309,                 1.8467,                 3.1978,                 2.7793,             0.00049871,             0.00049871,             0.00049871
                      3,                  2.143,                 3.3175,                 2.8884,                0.35983,                0.13021,                0.16758,                0.09297,                 1.4438,                  3.324,                 2.2804,             0.00073482,             0.00073482,             0.00073482
                      4,                 1.7934,                 2.9434,                 2.4627,                0.00624,                0.99517,                 0.1753,                0.10385,                  1.462,                 3.3684,                 2.6659,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.6579,                 2.7328,                 2.2496,                0.35859,                 0.5877,                0.35207,                0.19319,                 1.2638,                 2.5955,                 1.8109,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.5631,                 2.5485,                 2.1356,                0.26461,                0.71272,                 0.3812,                0.27403,                0.95103,                 2.1051,                 1.4528,              0.0007081,              0.0007081,              0.0007081
                      7,                 1.5017,                 2.4002,                 2.0648,                 0.4181,                0.60872,                0.30681,                0.20028,                 1.1738,                 2.1228,                 1.6498,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.4209,                 2.2878,                 1.9743,                0.40119,                0.54368,                0.44424,                0.31846,                 1.0313,                 1.7637,                 1.5664,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.3803,                 2.1678,                  1.905,                0.32582,                0.78333,                0.41002,                0.29481,                 1.0151,                 1.9033,                  1.466,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.3578,                 2.1073,                 1.8692,                0.73821,                0.47078,                0.56681,                 0.4218,                0.93741,                 1.5413,                  1.429,             0.00064719,             0.00064719,             0.00064719
                     11,                 1.3513,                 2.0086,                 1.8766,                0.49925,                0.73078,                0.64991,                0.48226,                0.94669,                  1.469,                 1.4324,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.2797,                 1.9222,                 1.8152,                0.34693,                0.49675,                0.34442,                0.25413,                0.93857,                 1.8504,                 1.4217,             0.00061674,             0.00061674,             0.00061674
                     13,                 1.2485,                 1.8454,                 1.7675,                0.63999,                0.58304,                0.62772,                0.45485,                0.93727,                 1.4923,                 1.3817,             0.00060151,             0.00060151,             0.00060151
                     14,                 1.2557,                 1.7759,                 1.7638,                0.61841,                0.73759,                0.71935,                0.52576,                0.98264,                 1.2553,                 1.4094,             0.00058629,             0.00058629,             0.00058629
                     15,                 1.2343,                 1.7284,                  1.741,                0.31503,                0.64178,                 0.4357,                0.32654,                0.91152,                 1.6087,                  1.346,             0.00057106,             0.00057106,             0.00057106
                     16,                 1.2358,                 1.6724,                 1.7465,                0.68746,                  0.712,                0.71838,                0.53973,                0.92475,                  1.206,                 1.3987,             0.00055583,             0.00055583,             0.00055583
                     17,                 1.2373,                 1.6601,                 1.7334,                0.62944,                0.77045,                0.73298,                 0.5521,                0.89407,                 1.1866,                  1.331,             0.00054061,             0.00054061,             0.00054061
                     18,                 1.2116,                 1.5951,                 1.7057,                 0.5904,                0.66379,                 0.7149,                0.53959,                0.93617,                 1.2427,                 1.3822,             0.00052538,             0.00052538,             0.00052538
                     19,                 1.1935,                 1.5628,                 1.6946,                0.52379,                0.75126,                0.71933,                0.54548,                0.86408,                 1.2592,                  1.324,             0.00051015,             0.00051015,             0.00051015
                     20,                 1.2091,                 1.5737,                 1.6987,                0.64351,                0.83026,                0.78512,                0.59336,                0.93768,                 1.0202,                 1.3835,             0.00049493,             0.00049493,             0.00049493
                     21,                 1.1713,                 1.4831,                 1.6714,                 0.6579,                0.73574,                0.77331,                0.56785,                 1.0077,                 1.0338,                    1.4,              0.0004797,              0.0004797,              0.0004797
                     22,                  1.169,                  1.458,                 1.6617,                0.58758,                0.81378,                0.78533,                0.61328,                0.83514,                 1.0356,                 1.2813,             0.00046448,             0.00046448,             0.00046448
                     23,                 1.1629,                 1.4356,                 1.6522,                0.67553,                0.82193,                0.82225,                0.63126,                0.88688,                0.94024,                 1.3533,             0.00044925,             0.00044925,             0.00044925
                     24,                 1.1575,                 1.3777,                 1.6333,                0.54958,                0.79698,                0.76823,                 0.5991,                 0.8426,                  1.172,                 1.2896,             0.00043402,             0.00043402,             0.00043402
                     25,                 1.1312,                 1.4027,                 1.6288,                0.57132,                0.75731,                 0.7569,                0.57577,                0.90504,                 1.0526,                 1.3191,              0.0004188,              0.0004188,              0.0004188
                     26,                 1.1068,                 1.3456,                 1.5983,                 0.6222,                0.78554,                0.75691,                0.55865,                0.96413,                 1.0806,                 1.3904,             0.00040357,             0.00040357,             0.00040357
                     27,                  1.111,                 1.3205,                 1.5987,                 0.8265,                0.70756,                0.81205,                 0.6013,                0.97432,                 1.0189,                 1.3731,             0.00038835,             0.00038835,             0.00038835
                     28,                 1.1331,                 1.3025,                  1.611,                0.69816,                0.76737,                0.83131,                0.62508,                0.95933,                0.92315,                 1.3547,             0.00037312,             0.00037312,             0.00037312
                     29,                 1.1152,                 1.2743,                 1.5987,                0.88944,                0.75198,                0.86829,                0.65744,                0.92855,                0.83286,                 1.3599,             0.00035789,             0.00035789,             0.00035789
                     30,                 1.1299,                 1.2652,                 1.6079,                0.82942,                0.75192,                0.82724,                0.64843,                0.84629,                0.83996,                 1.3002,             0.00034267,             0.00034267,             0.00034267
                     31,                 1.1281,                 1.2598,                 1.5972,                0.72067,                0.82968,                0.86835,                0.67758,                0.88757,                0.80771,                 1.3281,             0.00032744,             0.00032744,             0.00032744
                     32,                 1.0994,                 1.2318,                 1.5715,                0.66898,                0.81463,                0.83845,                0.66508,                0.80504,                0.88755,                 1.2717,             0.00031221,             0.00031221,             0.00031221
                     33,                 1.0777,                 1.2425,                 1.5664,                0.87713,                0.73731,                0.83276,                0.65846,                0.85057,                0.81768,                 1.3031,             0.00029699,             0.00029699,             0.00029699
                     34,                 1.0958,                 1.2072,                 1.5806,                0.67688,                0.88359,                0.86087,                0.66723,                 0.8575,                0.76903,                 1.2867,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.0911,                 1.1906,                 1.5726,                0.87068,                0.80369,                0.86443,                0.67107,                0.84483,                0.79395,                 1.2693,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.0393,                 1.1303,                 1.5317,                0.88692,                0.78322,                 0.8593,                0.65941,                0.89468,                0.78974,                  1.302,             0.00025131,             0.00025131,             0.00025131
